株主ID,株主名,性別,年齢,職業,市,地名
2896,内山,男,55,郵便事務,つくば,陣場Ｅ
2897,川島,男,26,旅客・料金収受係,つくば,陣場Ｆ
2898,沢田,女,57,データ入力等ＰＣ操作,つくば,陣場Ｇ
2899,桑原,女,58,コールセンターオペレーター,つくば,みどりの一丁目
2900,杉浦,男,59,テレアポ等,つくば,みどりの二丁目
2901,三宅,男,60,集金・検針・調査等の外勤事務,つくば,みどりの中央
2902,片岡,女,30,法人・団体の役員・管理職等,つくば,みどりの東
2903,富田,男,23,不動産営業,つくば,みどりの南
2904,岡,男,32,金融・保険営業,つくば,台町一丁目
2905,八木,男,33,飲食料品販売営業,つくば,台町二丁目
2906,小沢,男,26,機械器具・電気器具販売営業,つくば,台町三丁目
2907,奥田,男,35,自動車販売営業,つくば,春風台
2908,関根,男,36,製品受注営業,つくば,流星台
2909,松永,男,37,通信・情報システム営業,つくば,さくらの森
2910,北川,男,38,化学品販売営業、医薬品営業,つくば,かみかわ
2911,河合,男,39,広告営業、会員勧誘、その他の営業,つくば,高山
2912,平山,男,40,テレフォンアポインター,つくば,万博公園西
2913,牧野,男,41,スーパー・百貨店販売店員,つくば,谷田部
2914,白石,男,42,レジ係,つくば,谷田部字瑞穂
2915,今村,男,26,コンビニエンスストア店員,つくば,羽成
2916,寺田,男,29,衣料品販売店員,つくば,飯田
2917,青山,男,45,飲食料品販売店員,つくば,中野
2918,小倉,男,46,医薬品・化粧品販売店員,つくば,片田
2919,中尾,男,47,自動車販売店員,つくば,上萱丸
2920,渋谷,男,25,電気機器販売店員,つくば,花島新田
2921,上村,男,49,ガソリンスタンド販売員,つくば,下萱丸
2922,大山,男,50,その他の小売店販売員,つくば,小白硲
2923,小野寺,男,51,小売店作業員（商品の陳列・補充等）,つくば,西栗山
2924,足立,男,28,店長（小売、卸売）,つくば,上横場
2925,岡村,女,53,不動産仲介・売買,つくば,境田
2926,天野,男,54,訪問販売、卸売、その他の販売,つくば,境松
2927,坂口,女,55,飲食店のホールスタッフ,つくば,根崎
2928,多田,男,56,飲食店店長,つくば,古館
2929,佐久間,男,57,ホテル・旅館のフロント、接客、客室係,つくば,緑が丘
2930,根本,男,58,娯楽施設・スポーツ施設・その他の接客,つくば,東丸山
2931,豊田,女,59,美容師,つくば,真瀬
2932,田島,男,60,理容師,つくば,鍋沼新田
2933,飯塚,男,30,エステティシャン、ネイリスト,つくば,高須賀
2934,角田,女,37,理美容師補助、その他の美容サービス,つくば,高良田
2935,村山,男,38,調理人（日本・西洋・中華料理）,つくば,島名
2936,武藤,男,39,調理人（給食）,つくば,中別府
2937,白井,男,40,調理人（食堂、居酒屋、弁当店、その他）,つくば,下別府
2938,西,女,41,調理補助、調理人見習,つくば,上河原崎下河原崎入会地
2939,榎本,男,42,食堂作業員（洗い場等）,つくば,上河原崎
2940,宮下,男,43,クリーニング等の生活衛生サービス,つくば,鬼ケ窪
2941,塚本,男,44,保育・介護補助、冠婚葬祭、その他サービス,つくば,高田
2942,竹田,男,45,施設介護員,つくば,面野井
2943,神谷,女,22,訪問介護員、ホームヘルパー,つくば,下河原崎
2944,坂田,男,47,介護支援専門員、ケアマネージャー,つくば,水堀
2945,水谷,男,48,老人福祉施設指導員,つくば,北郷
2946,児玉,女,49,障害者福祉施設指導員,つくば,西平塚
2947,坂井,男,50,児童福祉施設指導員,つくば,東平塚
2948,齋藤,男,51,福祉相談員、ケースワーカー,つくば,下平塚
2949,浅井,男,52,その他の福祉専門職,つくば,葛城根崎
2950,岡部,女,20,福祉施設管理者,つくば,苅間
2951,小原,男,54,保育士,つくば,西大橋
2952,神田,男,55,保育補助（その他サービスを含む）,つくば,西岡
2953,森下,男,26,学童保育・放課後児童クラブ等指導員,つくば,小野崎
2954,中井,男,57,幼稚園教員,つくば,島
2955,植田,男,58,小・中・高等学校・特別支援学校等教員,つくば,平
2956,小笠原,男,59,専修学校・各種学校教員,つくば,大白硲
2957,河村,男,60,職業訓練指導員、研修講師、その他の教員,つくば,柳橋
2958,稲垣,女,30,学習塾教師,つくば,新井
2959,宮川,男,23,スポーツインストラクター,つくば,山中
2960,前川,男,32,習い事・その他の講師、インストラクター,つくば,藤本
2961,大川,男,33,図書館司書,つくば,大わし
2962,飯島,男,26,学芸員,つくば,中内
2963,松崎,女,35,学校カウンセラー,つくば,館野
2964,長田,男,36,医師、歯科医師、獣医師,つくば,榎戸
2965,若林,男,37,薬剤師,つくば,北中妻
2966,谷,男,38,看護師,つくば,赤塚
2967,大沢,男,39,准看護師,つくば,下原
2968,石塚,男,40,看護助手,つくば,梶内
2969,安部,男,41,保健師、助産師,つくば,南中妻
2970,堀内,男,42,理学療法士、作業療法士,つくば,下横場
2971,田代,男,26,臨床検査技師、診療放射線技師等,つくば,稲岡
2972,及川,男,29,歯科衛生士、歯科技工士,つくば,北中島
2973,中嶋,男,45,歯科助手、歯科受付,つくば,市之台
2974,江口,男,46,栄養士、管理栄養士,つくば,今泉
2975,中谷,女,47,あん摩マッサージ指圧・鍼灸師、柔道整復師,つくば,新牧田
2976,山根,男,25,言語聴覚士、その他の保健医療専門職,つくば,手代木
2977,岸本,男,49,動物病院助手、その他の助手等,つくば,西大沼
2978,荒川,男,50,医療事務・受付、調剤薬局事務,つくば,上原
2979,本多,男,51,金属材料製造、金属加工、溶接,つくば,松野木
2980,西尾,男,28,自動車組立、輸送用機械組立・整備,つくば,観音台一丁目
2981,森山,男,53,自動車整備工,つくば,観音台二丁目
2982,岡野,女,54,電気・電子・通信機器等組立・修理,つくば,観音台三丁目
2983,金井,男,55,光学機械、その他の機械組立・修理,つくば,春日一丁目
2984,細川,男,56,食料品製造・加工,つくば,春日二丁目
2985,今野,男,57,衣服・繊維製品製造、パタンナー,つくば,春日三丁目
2986,稲葉,男,58,化学製品、窯業・土石製品の製造・加工,つくば,春日四丁目
2987,戸田,女,59,プラスチック製品、その他の製造・加工,つくば,松代一丁目
2988,津田,男,60,ＤＴＰオペレーター、印刷、製本,つくば,松代二丁目
2989,安達,男,30,ＣＡＤオペレーター、製図、写図、現図,つくば,松代三丁目
2990,落合,女,37,塗装、看板制作、その他生産関連,つくば,松代四丁目
2991,森川,男,38,製品検査,つくば,松代五丁目
2992,土井,男,39,生産設備オペレーター（制御・監視),つくば,西郷
2993,村松,男,40,工場労務作業,つくば,小野川
2994,町田,女,41,建築技術者（工事監督、設計技術者等）,つくば,東一丁目
2995,星,男,42,土木技術者（工事監督、設計技術者等）,つくば,東二丁目
2996,三上,女,43,測量技術者（測量士、測量士補）,つくば,稲荷前
2997,畠山,男,44,ソフトウェア開発技術者、プログラマー,つくば,二の宮一丁目
2998,岩井,男,45,その他の情報処理・通信技術者,つくば,二の宮二丁目
2999,堤,男,22,電気・電子・電気通信の開発・製造技術者,つくば,二の宮三丁目
3000,長尾,女,47,機械・自動車等の設計・製造技術者,つくば,二の宮四丁目
3001,中原,男,48,食品・その他の技術者、研究者,つくば,高野台一丁目
3002,野崎,男,49,経営、法務,つくば,高野台二丁目
3003,中沢,男,50,ウェブデザイナー,つくば,高野台三丁目
3004,金田,男,51,デザイナー（ウェブを除く）,つくば,東新井
3005,米田,男,52,カメラマン、記者・編集者、その他芸術,つくば,御幸が丘
3006,杉田,男,20,通訳、翻訳,つくば,八幡台
3007,松山,男,54,カウンセラー（医療・福祉施設を除く）,つくば,上郷
3008,堀田,男,55,司書、その他の専門職,つくば,木俣
3009,西野,女,26,大工,つくば,野畑
3010,三好,男,57,配管工,つくば,百家
3011,山岸,男,58,左官、タイル張・内装・防水工等,つくば,高野
3012,佐伯,男,59,とび工、型枠大工、鉄筋工（建設躯体工事）,つくば,今鹿島
3013,黒川,女,60,建設機械・クレーン等運転工、玉掛,つくば,沼崎
3014,西岡,男,30,ダンプカー・ミキサー車運転手,つくば,中東原新田
3015,大竹,女,23,建設・土木作業員,つくば,遠東
3016,泉,男,32,舗装・線路工事・掘削等作業員,つくば,酒丸
3017,甲斐,男,33,電気工事作業員,つくば,土田
3018,大木,男,26,通信設備作業員、送電線等架線・敷設作業員,つくば,上里
3019,笠原,女,35,採掘,つくば,東光台一丁目
3020,堀江,男,36,建築技術者（工事監督、設計技術者等）,つくば,東光台二丁目
3021,岸,男,37,土木技術者（工事監督、設計技術者等）,つくば,東光台三丁目
3022,川田,女,38,測量技術者（測量士、測量士補）等,つくば,東光台四丁目
3023,徳永,男,39,施設警備員,つくば,東光台五丁目
3024,須田,男,40,道路交通誘導員,つくば,田倉
3025,山川,女,41,雑踏警備員,つくば,緑ケ原一丁目
3026,黒木,女,42,その他の保安・警備・監視員,つくば,緑ケ原二丁目
3027,榊原,男,26,管理人（マンション、アパート等）,つくば,緑ケ原三丁目
3028,古田,男,29,管理人（駐車場、駐輪場）,つくば,緑ケ原四丁目
3029,梅田,女,45,ビル設備管理員、ビル管理人,つくば,手子生
3030,三木,男,46,管理人（寄宿舎、寮、その他）,つくば,大曽根
3031,野中,男,47,機械設備運転（クレーン、ボイラー、発電等）,つくば,鹿島台
3032,新田,男,25,トラック運転手,つくば,玉取
3033,大城,男,49,トレーラー・タンクローリー運転手,つくば,若森
3034,金城,男,50,ミキサー車・ダンプカー運転手,つくば,佐
3035,村井,男,51,ごみ収集・陸送・その他の貨物自動車運転手,つくば,蓮沼
3036,奥山,男,28,バス運転手,つくば,花畑一丁目
3037,土田,男,53,タクシー運転手,つくば,花畑二丁目
3038,滝沢,男,54,役員車・送迎車等の乗用自動車運転手,つくば,花畑三丁目
3039,大村,男,55,その他の自動車運転手,つくば,前野
3040,川端,男,56,フォークリフト運転作業員,つくば,立原
3041,井口,男,57,鉄道・船舶・航空機の運転、その他の輸送,つくば,篠崎
3042,梶原,男,58,荷物の配達,つくば,北原
3043,宮城,男,59,ルート集配,つくば,長高野
3044,大場,男,60,郵便の集配、新聞配達等,つくば,要
3045,比嘉,男,30,運行管理事務,つくば,大穂
3046,長島,男,37,出札・旅客・貨物・料金収受係,つくば,吉沼
3047,吉原,男,38,ビル・建物の清掃、ハウスクリーニング,つくば,西高野
3048,宮内,男,39,ごみ収集、産業洗浄、その他の清掃・洗浄,つくば,大久保
3049,金沢,男,40,フォークリフト運転作業員,つくば,大砂
3050,安井,男,41,倉庫作業,つくば,小田
3051,庄司,男,42,梱包作業,つくば,北太田
3052,大内,女,43,包装、ラベル・シール貼付,つくば,大形
3053,茂木,男,44,商品等の選別・ピッキング,つくば,下大島
3054,荻野,女,45,運搬・積卸・引越作業、港湾荷役作業,つくば,小和田
3055,松島,男,22,工場労務作業員,つくば,山口
3056,日高,男,47,食堂作業員（洗い場等）,つくば,平沢
3057,下田,男,48,小売店作業員（商品の陳列・補充等）,つくば,北条
3058,向井,女,49,学校・病院の用務員、その他の作業員,つくば,君島
3059,塚田,男,50,稲作、畑作、園芸等,つくば,泉
3060,石黒,男,51,養畜、動物飼育等,つくば,小泉
3061,奥野,女,52,植木職、造園師,つくば,田中
3062,西本,男,20,その他の農業,つくば,田水山
3063,広田,男,54,林業,つくば,水守
3064,竹中,男,55,漁業,つくば,上沢
3065,嶋田,女,26,農業・畜産・林業・水産技術者,つくば,山木
3066,栗田,男,57,農学・林学・水産学研究者,つくば,明石
3067,福本,男,58,一般事務,つくば,高野原新田
3068,藤川,男,59,事務補助,つくば,作谷
3069,北野,男,60,総務事務,つくば,寺具
3070,藤野,女,30,人事事務,つくば,安食
3071,宇野,男,23,秘書,つくば,上菅間
3072,川原,男,32,受付・案内事務,つくば,中菅間
3073,丹羽,女,33,医療事務・受付,つくば,池田
3074,谷川,男,26,調剤薬局事務,つくば,磯部
3075,小谷,男,35,護事務,つくば,洞下
3076,青柳,男,36,会計・経理事務,つくば,筑波
3077,吉本,女,37,営業事務,つくば,沼田
3078,竹下,男,38,販売事務,つくば,国松
3079,竹本,男,39,金融,つくば,上大島
3080,藤岡,男,40,保険事務,つくば,神郡
3081,古谷,男,41,貿易事務,つくば,臼井
3082,緒方,男,42,企画事務,つくば,大貫
3083,平川,男,26,マーケティング,つくば,杉木
3084,亀井,男,29,生産・工程管理事務,つくば,小沢
3085,藤村,女,45,出荷・受荷事務,つくば,漆所
3086,高島,男,46,運行管理事務,つくば,和台
3087,三輪,男,47,郵便事務,つくば,上境
3088,篠崎,男,25,旅客・料金収受係,つくば,中根
3089,藤沢,男,49,データ入力等ＰＣ操作,つくば,栄
3090,窪田,女,50,コールセンターオペレーター,つくば,松塚
3091,宮原,男,51,テレアポ等,つくば,松栄
3092,根岸,男,28,集金・検針・調査等の外勤事務,つくば,大
3093,高井,男,53,法人・団体の役員・管理職等,つくば,横町
3094,下村,男,54,不動産営業,つくば,金田
3095,高瀬,男,55,金融・保険営業,つくば,古来
3096,山村,男,56,飲食料品販売営業,つくば,吉瀬
3097,小澤,男,57,機械器具・電気器具販売営業,つくば,上ノ室
3098,川本,男,58,自動車販売営業,つくば,上広岡
3099,柳沢,男,59,製品受注営業,つくば,上広岡字野田
3100,横井,男,60,通信・情報システム営業,つくば,下広岡
3101,吉沢,男,30,化学品販売営業、医薬品営業,つくば,大角豆
3102,武井,女,37,広告営業、会員勧誘、その他の営業,つくば,倉掛
3103,出口,男,38,テレフォンアポインター,つくば,妻木
3104,小森,男,39,スーパー・百貨店販売店員,つくば,柴崎
3105,竹村,男,40,レジ係,つくば,岡村新田
3106,長野,男,41,コンビニエンスストア店員,つくば,東岡
3107,志村,男,42,衣料品販売店員,つくば,花室
3108,宮沢,男,43,飲食料品販売店員,つくば,栗原
3109,平松,女,44,医薬品・化粧品販売店員,つくば,上野
3110,臼井,男,45,自動車販売店員,つくば,天王台一丁目
3111,黒沢,男,22,電気機器販売店員,つくば,天王台二丁目
3112,福岡,男,47,ガソリンスタンド販売員,つくば,天王台三丁目
3113,溝口,男,48,その他の小売店販売員,つくば,天久保一丁目
3114,田原,女,49,小売店作業員（商品の陳列・補充等）,つくば,天久保二丁目
3115,稲田,男,50,店長（小売、卸売）,つくば,天久保三丁目
3116,浅田,男,51,不動産仲介・売買,つくば,天久保四丁目
3117,奧村,女,52,訪問販売、卸売、その他の販売,つくば,吾妻一丁目
3118,柳田,男,20,飲食店のホールスタッフ,つくば,吾妻二丁目
3119,筒井,男,54,飲食店店長,つくば,吾妻三丁目
3120,永野,男,55,ホテル・旅館のフロント、接客、客室係,つくば,吾妻四丁目
3121,大原,女,26,娯楽施設・スポーツ施設・その他の接客,つくば,竹園一丁目
3122,瀬戸,男,57,美容師,つくば,竹園二丁目
3123,冨田,女,58,理容師,つくば,竹園三丁目
3124,林田,男,59,エステティシャン、ネイリスト,つくば,千現一丁目
3125,大平,男,60,理美容師補助、その他の美容サービス,つくば,千現二丁目
3126,手塚,男,30,調理人（日本・西洋・中華料理）,つくば,並木一丁目
3127,篠田,女,23,調理人（給食）,つくば,並木二丁目
3128,入江,男,32,調理人（食堂、居酒屋、弁当店、その他）,つくば,並木三丁目
3129,北原,男,33,調理補助、調理人見習,つくば,並木四丁目
3130,福永,男,26,食堂作業員（洗い場等）,つくば,梅園一丁目
3131,矢島,男,35,クリーニング等の生活衛生サービス,つくば,梅園二丁目
3132,富永,男,36,保育・介護補助、冠婚葬祭、その他サービス,つくば,桜一丁目
3133,小出,男,37,施設介護員,つくば,桜二丁目
3134,湯浅,男,38,訪問介護員、ホームヘルパー,つくば,桜三丁目
3135,鶴田,男,39,介護支援専門員、ケアマネージャー,つくば,筑穂一丁目
3136,沼田,女,40,老人福祉施設指導員,つくば,筑穂二丁目
3137,堀口,男,41,障害者福祉施設指導員,つくば,筑穂三丁目
3138,岩瀬,男,42,児童福祉施設指導員,つくば,豊里の杜一丁目
3139,高松,男,26,福祉相談員、ケースワーカー,つくば,豊里の杜二丁目
3140,長岡,女,29,その他の福祉専門職,つくば,南原
3141,山岡,男,45,福祉施設管理者,つくば,旭
3142,大田,女,46,保育士,つくば,西沢
3143,澤田,男,47,保育補助（その他サービスを含む）,つくば,西原
3144,石崎,男,25,学童保育・放課後児童クラブ等指導員,つくば,長峰
3145,大槻,男,49,幼稚園教員,つくば,原
3146,石山,女,50,小・中・高等学校・特別支援学校等教員,つくば,六斗
3147,池上,男,51,専修学校・各種学校教員,つくば,小茎
3148,堀川,男,28,職業訓練指導員、研修講師、その他の教員,つくば,下岩崎
3149,二宮,女,53,学習塾教師,つくば,九万坪
3150,島崎,男,54,スポーツインストラクター,つくば,上岩崎
3151,柏木,男,55,習い事・その他の講師、インストラクター,つくば,房内
3152,園田,女,56,図書館司書,つくば,若栗
3153,奧田,女,57,学芸員,つくば,菅間
3154,相馬,男,58,学校カウンセラー,つくば,樋の沢
3155,平岡,男,59,医師、歯科医師、獣医師,つくば,大井
3156,花田,女,60,薬剤師,つくば,高崎
3157,杉原,男,30,看護師,つくば,天宝喜
3158,加納,男,37,准看護師,つくば,牧園
3159,村瀬,男,38,看護助手,つくば,宝陽台
3160,川野,男,39,保健師、助産師,つくば,城山
3161,内海,男,40,理学療法士、作業療法士,つくば,桜が丘
3162,片桐,男,41,臨床検査技師、診療放射線技師等,つくば,森の里
3163,倉田,男,42,歯科衛生士、歯科技工士,つくば,森の里
3164,長沢,男,43,歯科助手、歯科受付,つくば,若葉
3165,野沢,男,44,栄養士、管理栄養士,つくば,あしび野
3166,河原,男,45,あん摩マッサージ指圧・鍼灸師、柔道整復師,つくば,高見原一丁目
3167,秋元,男,22,言語聴覚士、その他の保健医療専門職,つくば,高見原二丁目
3168,福原,男,47,動物病院助手、その他の助手等,つくば,高見原三丁目
3169,松野,男,48,医療事務・受付、調剤薬局事務,つくば,高見原四丁目
3170,西原,男,49,金属材料製造、金属加工、溶接,つくば,高見原五丁目
3171,越智,男,50,自動車組立、輸送用機械組立・整備,つくば,富士見台
3172,笠井,男,51,自動車整備工,つくば,自由ケ丘
3173,小坂,男,52,電気・電子・通信機器等組立・修理,つくば,自由ケ丘
3174,田畑,男,20,光学機械、その他の機械組立・修理,つくば,梅ケ丘
3175,北島,男,54,食料品製造・加工,つくば,池の台
3176,渡邊,男,55,衣服・繊維製品製造、パタンナー,つくば,松の里
3177,日野,男,26,化学製品、窯業・土石製品の製造・加工,つくば,駒込
3178,谷本,男,57,プラスチック製品、その他の製造・加工,つくば,茎崎
3179,吉井,女,58,ＤＴＰオペレーター、印刷、製本,つくば,小山
3180,深沢,男,59,ＣＡＤオペレーター、製図、写図、現図,つくば,大舟戸
3181,千田,女,60,塗装、看板制作、その他生産関連,つくば,細見
3182,西沢,男,30,製品検査,つくば,泊崎
3183,相沢,男,23,生産設備オペレーター（制御・監視),つくば,明神
3184,徳田,男,32,工場労務作業,つくば,稲荷川
3185,原口,女,33,建築技術者（工事監督、設計技術者等）,つくば,西ノ沢
3186,米山,男,26,土木技術者（工事監督、設計技術者等）,つくば,稲荷原
3187,細谷,男,35,測量技術者（測量士、測量士補）,つくば,池向
3188,小柳,女,36,ソフトウェア開発技術者、プログラマー,つくば,鷹野原
3189,新谷,男,37,その他の情報処理・通信技術者,つくば,中山
3190,田上,男,38,電気・電子・電気通信の開発・製造技術者,つくば,西大井
3191,今泉,男,39,機械・自動車等の設計・製造技術者,つくば,和台原
3192,浜野,女,40,食品・その他の技術者、研究者,つくば,学園の森一丁目
3193,菅,男,41,経営、法務,つくば,学園の森二丁目
3194,森岡,男,42,ウェブデザイナー,つくば,学園の森三丁目
3195,小嶋,男,26,デザイナー（ウェブを除く）,つくば,研究学園一丁目
3196,畑中,男,29,カメラマン、記者・編集者、その他芸術,つくば,研究学園二丁目
3197,浅見,女,45,通訳、翻訳,つくば,研究学園三丁目
3198,磯部,男,46,カウンセラー（医療・福祉施設を除く）,つくば,研究学園四丁目
3199,大井,男,47,司書、その他の専門職,つくば,研究学園五丁目
3200,秋田,女,25,大工,つくば,研究学園六丁目
3201,芳賀,男,49,配管工,つくば,研究学園七丁目
3202,相原,男,50,左官、タイル張・内装・防水工等,つくば,学園南一丁目
3203,荻原,男,51,とび工、型枠大工、鉄筋工（建設躯体工事）,つくば,学園南二丁目
3204,細田,女,28,建設機械・クレーン等運転工、玉掛,つくば,学園南三丁目
3205,坪井,男,53,ダンプカー・ミキサー車運転手,つくば,香取台Ａ
3206,植木,男,54,建設・土木作業員,つくば,香取台Ｂ
3207,大崎,男,55,舗装・線路工事・掘削等作業員,つくば,諏訪Ｃ
3208,白川,男,56,電気工事作業員,つくば,諏訪Ｄ
3209,皆川,男,57,通信設備作業員、送電線等架線・敷設作業員,つくば,諏訪Ｅ
3210,岸田,男,58,採掘,つくば,陣場Ｄ
3211,中本,男,59,建築技術者（工事監督、設計技術者等）,つくば,陣場Ｅ
3212,三谷,女,60,土木技術者（工事監督、設計技術者等）,つくば,陣場Ｆ
3213,福山,男,30,測量技術者（測量士、測量士補）等,つくば,陣場Ｇ
3214,平林,男,37,施設警備員,つくば,みどりの一丁目
3215,島村,男,38,道路交通誘導員,つくば,みどりの二丁目
3216,辻本,男,39,雑踏警備員,つくば,みどりの中央
3217,川瀬,女,40,その他の保安・警備・監視員,つくば,みどりの東
3218,浜口,男,41,管理人（マンション、アパート等）,つくば,みどりの南
3219,畑,男,42,管理人（駐車場、駐輪場）,つくば,台町一丁目
3220,木原,男,43,ビル設備管理員、ビル管理人,つくば,台町二丁目
3221,大友,男,44,管理人（寄宿舎、寮、その他）,つくば,台町三丁目
3222,古屋,男,45,機械設備運転（クレーン、ボイラー、発電等）,つくば,春風台
3223,塩田,男,22,トラック運転手,つくば,流星台
3224,遠山,男,47,トレーラー・タンクローリー運転手,つくば,さくらの森
3225,河内,男,48,ミキサー車・ダンプカー運転手,つくば,かみかわ
3226,神山,男,49,ごみ収集・陸送・その他の貨物自動車運転手,つくば,高山
3227,齊藤,男,50,バス運転手,つくば,万博公園西
3228,三橋,男,51,タクシー運転手,つくば,谷田部
3229,中里,女,52,役員車・送迎車等の乗用自動車運転手,つくば,谷田部字瑞穂
3230,大澤,男,20,その他の自動車運転手,つくば,羽成
3231,三井,男,54,フォークリフト運転作業員,つくば,飯田
3232,大坪,男,55,鉄道・船舶・航空機の運転、その他の輸送,つくば,中野
3233,植村,男,26,荷物の配達,つくば,片田
3234,難波,男,57,ルート集配,つくば,上萱丸
3235,三村,男,58,郵便の集配、新聞配達等,つくば,花島新田
3236,渡邉,女,59,運行管理事務,つくば,下萱丸
3237,栗山,男,60,出札・旅客・貨物・料金収受係,つくば,小白硲
3238,岩下,男,30,ビル・建物の清掃、ハウスクリーニング,つくば,西栗山
3239,松川,男,23,ごみ収集、産業洗浄、その他の清掃・洗浄,つくば,上横場
3240,井手,男,32,フォークリフト運転作業員,つくば,境田
3241,吉永,女,33,倉庫作業,つくば,境松
3242,早坂,男,26,梱包作業,つくば,根崎
3243,井出,男,35,包装、ラベル・シール貼付,つくば,古館
3244,長井,女,36,商品等の選別・ピッキング,つくば,緑が丘
3245,川畑,男,37,運搬・積卸・引越作業、港湾荷役作業,つくば,東丸山
3246,佐竹,男,38,工場労務作業員,つくば,真瀬
3247,朝倉,男,39,食堂作業員（洗い場等）,つくば,鍋沼新田
3248,柳,女,40,小売店作業員（商品の陳列・補充等）,つくば,高須賀
3249,亀山,男,41,学校・病院の用務員、その他の作業員,つくば,高良田
3250,川合,女,42,稲作、畑作、園芸等,つくば,島名
3251,河田,男,26,養畜、動物飼育等,つくば,中別府
3252,橘,男,29,植木職、造園師,つくば,下別府
3253,浜崎,男,45,その他の農業,つくば,上河原崎下河原崎入会地
3254,小宮,女,46,林業,つくば,上河原崎
3255,草野,男,47,漁業,つくば,鬼ケ窪
3256,堀井,男,25,農業・畜産・林業・水産技術者,つくば,高田
3257,新垣,男,49,農学・林学・水産学研究者,つくば,面野井
3258,保坂,男,50,一般事務,つくば,下河原崎
3259,中根,男,51,事務補助,つくば,水堀
3260,志賀,男,28,総務事務,つくば,北郷
3261,半田,男,53,人事事務,つくば,西平塚
3262,狩野,男,54,秘書,つくば,東平塚
3263,尾形,女,55,受付・案内事務,つくば,下平塚
3264,村岡,男,56,医療事務・受付,つくば,葛城根崎
3265,水上,男,57,調剤薬局事務,つくば,苅間
3266,大津,男,58,護事務,つくば,西大橋
3267,高村,女,59,会計・経理事務,つくば,西岡
3268,柴崎,男,60,営業事務,つくば,小野崎
3269,高柳,女,30,販売事務,つくば,島
3270,玉城,男,37,金融,つくば,平
3271,若松,男,38,保険事務,つくば,大白硲
3272,亀田,男,39,貿易事務,つくば,柳橋
3273,高岡,女,40,企画事務,つくば,新井
3274,立石,男,41,マーケティング,つくば,山中
3275,市村,男,42,生産・工程管理事務,つくば,藤本
3276,内野,女,43,出荷・受荷事務,つくば,大わし
3277,寺島,男,44,運行管理事務,つくば,中内
3278,三島,男,45,郵便事務,つくば,館野
3279,瀬川,女,22,旅客・料金収受係,つくば,榎戸
3280,武内,女,47,データ入力等ＰＣ操作,つくば,北中妻
3281,木内,男,48,コールセンターオペレーター,つくば,赤塚
3282,奈良,男,49,テレアポ等,つくば,下原
3283,藤崎,女,50,集金・検針・調査等の外勤事務,つくば,梶内
3284,久野,男,51,法人・団体の役員・管理職等,つくば,南中妻
3285,平,男,52,不動産営業,つくば,下横場
3286,植松,男,20,金融・保険営業,つくば,稲岡
3287,並木,男,54,飲食料品販売営業,つくば,北中島
3288,深谷,男,55,機械器具・電気器具販売営業,つくば,市之台
3289,玉井,男,26,自動車販売営業,つくば,今泉
3290,真鍋,男,57,製品受注営業,つくば,新牧田
3291,清野,男,58,通信・情報システム営業,つくば,手代木
3292,江藤,男,59,化学品販売営業、医薬品営業,つくば,西大沼
3293,水口,男,60,広告営業、会員勧誘、その他の営業,つくば,上原
3294,守屋,男,30,テレフォンアポインター,つくば,松野木
3295,大沼,男,23,スーパー・百貨店販売店員,つくば,観音台一丁目
3296,進藤,男,32,レジ係,つくば,観音台二丁目
3297,菅谷,男,33,コンビニエンスストア店員,つくば,観音台三丁目
3298,寺本,男,26,衣料品販売店員,つくば,春日一丁目
3299,橋口,男,35,飲食料品販売店員,つくば,春日二丁目
3300,高見,男,36,医薬品・化粧品販売店員,つくば,春日三丁目
3301,宮地,男,37,自動車販売店員,つくば,春日四丁目
3302,織田,男,38,電気機器販売店員,つくば,松代一丁目
3303,藤森,男,39,ガソリンスタンド販売員,つくば,松代二丁目
3304,石渡,男,40,その他の小売店販売員,つくば,松代三丁目
3305,河本,男,41,小売店作業員（商品の陳列・補充等）,つくば,松代四丁目
3306,毛利,女,42,店長（小売、卸売）,つくば,松代五丁目
3307,宮島,男,26,不動産仲介・売買,つくば,西郷
3308,矢部,女,29,訪問販売、卸売、その他の販売,つくば,小野川
3309,市原,男,45,飲食店のホールスタッフ,つくば,東一丁目
3310,大江,男,46,飲食店店長,つくば,東二丁目
3311,有馬,男,47,ホテル・旅館のフロント、接客、客室係,つくば,稲荷前
3312,有田,女,25,娯楽施設・スポーツ施設・その他の接客,つくば,二の宮一丁目
3313,高原,男,49,美容師,つくば,二の宮二丁目
3314,下山,男,50,理容師,つくば,二の宮三丁目
3315,鳥居,女,51,エステティシャン、ネイリスト,つくば,二の宮四丁目
3316,那須,男,28,理美容師補助、その他の美容サービス,つくば,高野台一丁目
3317,飯野,男,53,調理人（日本・西洋・中華料理）,つくば,高野台二丁目
3318,関谷,男,54,調理人（給食）,つくば,高野台三丁目
3319,松沢,女,55,調理人（食堂、居酒屋、弁当店、その他）,つくば,東新井
3320,北山,男,56,調理補助、調理人見習,つくば,御幸が丘
3321,坂下,男,57,食堂作業員（洗い場等）,つくば,八幡台
3322,野上,男,58,クリーニング等の生活衛生サービス,つくば,上郷
3323,前原,男,59,保育・介護補助、冠婚葬祭、その他サービス,つくば,木俣
3324,牧,女,60,施設介護員,つくば,野畑
3325,板垣,男,30,訪問介護員、ホームヘルパー,つくば,百家
